Name, Address, Zip, City
TFT Building Management, Viale Parioli   37/A, 00197, Roma
Fagnani, Via Menotti Garibaldi  14, 00049, Velletri
MASCI IMMOBILI, Piazzale Cairoli 26, 00065, Romano
Dominvest, via Ludovisi 45, 00187, Roma
Rezza Spa - Immobili di Prestigio, piazza di spagna 60/a, 00187, Roma
Angelini Property  - La tua family agency, Via Gallia 36, 00183, Roma
GUIDONIA : Consulenza Immobiliare Via Roma, 59, Viale Roma 59, 00012, Montecelio
Frimm Mas Service S.R.L., Viale della Grande Muraglia 144, 144, Roma
FRIMM IMM. P. DI ROMA S.R.L.S, Via Corrado Mantoni  5, 00139, Roma
Imparato Case, Circonvallazione ostiense 65, 00154, Roma
Bonifazi immobiliare Frascati, via di vermicino  541, 541, Frascati
Affiliato Frimm 1271 - RIVINCITA175 S.r.l, Via Baldo degli Ubaldi 175, 175, Roma
Immobiliare RN s.r.l., Piazza Sergio Corazzini 3, 00137, Roma
Vecchioni immobiliare, via Ottavilla 7, 00152, Roma
LUXURY HOME servizi immobiliari, via Santa Croce in Gerusalemme 8/8a, 00185, Roma
Rezza Spa, Piazza di Spagna 32, 00187, Roma
STUDIO MOLINARO REAL ESTATE, Via del Babuino  155, 155, Roma
Roma-Immobiliare.it, via di bravetta  190, 190, Roma
Solari Immobiliare dal 1989, Circonvallazione Cornelia 64/64a, 00165, Roma
Gabetti - Agenzia Prati - Borgo Pio, Via Fabio Massimo 44, 00192, Roma
Rezza Spa, piazza di spagna 60, 00187, Roma
Rezza Spa, piazza di spagna 60, 00187, Roma
Luffarelli Aste Immobiliari, VIALE G. OBERDAN 22, 00049, Velletri
Aste&Investimenti, Piazzale delle belle arti   8, 00196, Roma
Studio Giuliani Real Estate - CONSULENZA GRATUITA, Via Eduardo de Filippo 2/b, 00049, Velletri
STUDIO LEGALE & IMMOBILIARE LEONES, Via Castelli Romani 22/b, 00071, Pomezia
Rigamonti Real Estate srl, Via Antonio Bertoloni 26, 00197, Roma
Bovi RE , Piazza Cavour 25, 00193, Roma
Coldwell Banker Exclusive RE , Viale Bruno Buozzi 82, 00197, Roma
Italy Sotheby's International Realty, P.zza S.S. Apostoli 81, 00187, Roma
Padma srl, Piazzale Filippo il Macedone 42, 00124, Roma
Etica Si Specialist, Via Panaro  25, 00199, Roma
Agenzia Immobiliare Laurentina Pomezia, Via Roma 64, 00040, Pomezia
UNIRE Guidonia Centro, Viale Roma  149C, 149, Montecelio
Romana Servizi Immobiliari, via mario rigamonti  100, 100, Roma
RED Srl, Largo Brindisi 2, 00182, Roma
Francone immobiliare di Antonio Francone, Via Giacomo Boni  17-19-21, 00162, Roma
MANCINI RE IMMOBILIARE, Via Ciro Menotti 10/12, 00195, Roma
Immobilnetwork S.r.l., Piazza S. Croce in Gerusalemme 4, 00185, Roma
Gruppo MrCase Consulenti Immobiliari, Corso di Francia 130, 130, Roma
WRE - World Real Estate, Via Paolo Emilio 7, 00192, Roma
Patrizia Bacciu, via vinicio cortese 180, 180, Roma
L'Immobiliare Punto, Circonvallazione Gianicolense  298/A, 298, Roma
Con Te Immobiliare, Piazza Alessandria 2, 00198, Roma
RE/MAX NEOPOLIS, via Appia Nuova  Km. 17600, 17600, Ciampino
Tiffany S.R.L. Studio Immobiliare, Via Nemorense 49, 00199, Roma
RE MATTONE, Via Vittoria Colonna 18, 00193, Roma
Studio A Immobiliare , via Cornelio Nepote 10, 00136, Roma
Coldwell Banker Roma  -  Immobiliare BG & Partners , Via Val di Non  20/22, 00141, Roma
Penthouse Immobiliare Srl, viale America 1, 00144, Roma
Affiliato Tecnocasa: STUDIO CAVE GENAZZANO S.R.L., VIA PIO XII 15, 00033, Cave
Coldwell Banker  Royal RE, viale cortina d'ampezzo 325, 325, Roma
Asso Asso Immobiliare Srls, Via di Villa Chigi  96, 00199, Roma
Santillo Case, via Saluzzo   7, 00182, Roma
MillesImmobiliare, Sede operativa: piazza dei Carracci 1, 00196, Roma
RE/MAX Più, Via Giacomo Trevis 23/25, 00147, Roma
Immobiliare Farnese - Roma, Via della Luce  31, 00153, Roma
Gabetti - Agenzia San Paolo - ROMA, Viale Leonardo da Vinci 149, 149, Roma
Mastrangelo & Partners RE, Via Federico Cesi 21, 00192, Roma
CAPORILLI IMMOBILIARE AFFILIATO FRIMM, Via della Farnesina 125, 125, Roma
CMC Real Estate Srl, Via Ludovisi  29, 00187, Roma
ROMUS RE di Stefano Preciutti, Viale degli Astri 44, 00144, Roma
Taloni Immobiliare di Alfredo Taloni, Via Veturia 34, 00181, Roma
MLD Customer Care , Viale America 11, 00144, Roma
Professionecasa - Monterotondo srl, VIA A. GRAMSCI  10, 00015, Monterotondo
Grimaldi Aurelio-Gregorio VII, Via Innocenzo XI  52, 00165, Roma
Studio Immobiliare Iori, Via Domodossola  29, 00183, Roma
GUALANDRI, via Giannetto Valli  96, 00149, Roma
Affiliato Tecnocasa: IMMOBILIARE POMEZIA S.R.L.S., VIA ORAZIO 3, 00071, Pomezia
Rezza Spa, viale bruno buozzi  1, 00197, Roma
M&D Studio Immobiliare srl, viale dei Colli Portuensi   116 A, 116, Roma
IMMOBILIARE FIORAVANTI, VIA TEODORO VALFRE'  17, 00165, Roma
Immobiliare Universitaria srls, Via Gabriello Chiabrera  56, 00145, Roma
Real Estate Rome , viale Gottardo 53, 00141, Roma
Stimacasa - Cinecitta', Via degli Opimiani 13, 00100, Roma
Affiliato Tecnocasa: FIDENE S.R.L., VIA RADICOFANI 217, 217, Roma
Kant Case s.a.s., Viale Marx 158 / 160, 158, Roma
Affiliato Tecnorete: TOR SAN LORENZO MARE 2019 S.R.L., LUNGOMARE TOR SAN LORENZO 102, 102, Ardea
L'IMMOBILIARE.COM - ROMA PRATI, Via Baldo degli Ubaldi  111, 111, Roma
CARROZZO ROBERTA IMMOBILIARE, VIA E. FILIBERTO 130, 130, Roma
Affiliato Tecnocasa: ANZIO CENTRO IMMOBILIARE S.R.L., VIA XX SETTEMBRE 20, 00042, Anzio
Book immobiliare, Via Padre G.A. Filippini 130, 130, Roma
Affiliato Tecnocasa IMMOBILIARE FLAMINIO S.R.L., via Flaminia Vecchia  628, 628, Roma
Affiliato Tecnocasa: IMMOBILIARE TALENTI RE S.R.L., VIA LUIGI CAPUANA 146, 146, Roma
Thrinakie Group srl, Via F. De Sanctis   13, 00195, Roma
Affiliato Tecnorete: STUDIO BRAVETTA PISANA S.R.L., VIA DELLA PISANA 108, 108, Roma
Affiliato Tecnocasa: IMMOBILIARE MOSTACCIANO S.R.L., VIALE BEATA VERGINE DEL CARMELO 95, 00144, Roma
Affiliato Tecnorete: MONTEVERDE NUOVO 2019 S.R.L., VIA LAURA MANTEGAZZA 52, 00152, Roma
